RUNS   ORUN    HIT   ERR  RES
  10      2     11     1    W 
   9      4     12     3    W 
   7      6      9     2    W 
   9      6     13     1    W 
  10     11     10     4    L 
  12     11     17     4    W
  11      0     10     3    W
  17      7     25     2    W
   4      8     11     1    L
   8      8     14     3    T
   8     13     10     4    L
  17      2     16     2    W
  11      1     15     2    W
  13      1     18     2    W
  16      4     19     1    W
  10      7     12     4    W
  10      3     11     4    W
  16      0     15     2    W
  14      9     15     3    W
  26      9     27     2    W
   8      9     18     1    L
  10      3     15     1    W
  13      3     15     1    W
  17     22     20    11    L
  11      5     17     5    W
  12     11     13     8    W
   9     10     15     2    L
  13      7     14     3    W
  13      8     12     2    W
  10      6     14     5    W
  16      5     20     4    W
  13      2     15     3    W
  10     13     19     5    L
  12     15     19     9    L
  17      5     18     3    W
   8     14     14     5    L
  20      4     17     0    W
   4      7      8     3    L
  24      7     29     2    W
   8      9     12     1    L
   6      3     14     6    W
   4      9     10     2    L
   9      5     12     5    W
   7      9     12     4    L
  17      7     19     2    W
  11      1      9     3    W
  16      6     19     3    W
  12     10     18     3    W
   8      9     10     2    L
  10     13     17     5    L
   2     16      8     5    L
   7      4     11     3    W
  14      4     15     1    W
   0     11      3     6    L
  15      0     14     0    W
  20      4     21     3    W
  13      2     16     2    W
   6      3      8     3    W
  23      0     18     0    W
  21      4     22     4    W
  11      5     16     5    W
  13      2     18     1    W
  17      2     20     1    W
  27      1     31     1    W
  11      2     17     2    W
  18      2     18     1    W
  18      0     18     0    W
  15      9     22     1    W
  16      1     14     0    W
  18      8     18     3    W
  15      5     19     5    W
   3      2      6     3    W
  11      1     12     3    W
   7      7     15     5    T
   9      2     13     3    W
  13      5     16     4    W
  13     10     16     4    W
   5      3      9     1    W
  17      2     16     3    W
   1     15      4     8    L
  19     18     22     7    W
  16      7     21     3    W
  12     15     22     4    L
  12      5     16     6    W
  19      4     19     0    W
  18      4     17     3    W
  17      9     16     3    W
  15      2     18     1    W
  20      9     23     2    W
  18      8     22     1    W
  16     10     18     1    W
  10      3     18     3    W
  17     18     14     5    L
  14     15     18     4    L
  10      0     14     2    W
   7      8     13     4    L
  17     12     20     2    W
  15      9     17     4    W
   7     14     10     3    L
  18      8     22     3    W
  11      0     14     1    W
  15      4     13     2    W
  16      0     15     0    W
  16      4     19     2    W
  32      2     27     1    W
  12     11     24     5    W
  17      1     21     4    W
  15      1     17     0    W
  12      3     12     1    W
  11      1     18     2    W
  16      1     16     1    W
  14      3     20     1    W
  22      7     23     4    W
  14      8     17     6    W
  11      6     15     2    W
  25      4     28     0    W
  28      6     29     1    W
  14     14     18     7    T
   5      4     10     2    W
  14      9     19     0    W
  15      8     13     1    W
  14      9     15     5    W
   7      9     11     3    L
   8     11     10     7    L
   3      5      7     3    L
   9      6     14     3    W
  10      7     12     5    W
  14      4     17     1    W
   2     15      2     1    L
   5      1      8     1    W
  10      2     18     1    W
  24      6     26     3    W
  14      4     18     5    W
  13     14     16     2    L
   9     13     15     7    L
   9      8     16     3    W
   9      6     15     2    W
  15     21     22     7    L
   6      9     17     3    L
   6     14     11     7    L
  10      9     16     3    W
   8     11     15     3    L
   3     13     10     3    L
  15      9     12     3    W
   9      5     10     2    W
  10      9     14     3    W
  16     15     19     6    W
  14     13     17     4    W
   8      7     16     3    W
   2     12      6     3    L
  12     10      9     5    W
  14      8     16     1    W
  18      2     20     1    W
  13      8     11     1    W
  14     16     24     4    L
  25      3     24     3    W
   3     13      7     6    L
   8      9     13     4    L
   9     10     15     3    L
  12     20     17     6    L
   9     11     16     3    L
  22     11     23     4    W
   9     19     15     2    L
